member_file_name,kelvin,vGate,vSourceDrain,sampleID,peak_MHz,peak_dB
2023-03-14_013_N/018_supp15V_Ug0p0V_Ig_Usd_0p04V_po0_8K+Isd_0677uA.csv,8.0,0.0,0.04,sample_N,1.52306766388477,-42.8514330387115
2023-03-14_013_N/019_supp15V_Ug7p0V_Ig_Usd_0p04V_po0_8K+Isd_0677uA.csv,8.0,7.0,0.04,sample_N,1.52397890922534,-42.6131052970886
2023-03-14_013_N/020_supp15V_Ug8p0V_Ig_Usd_0p04V_po0_8K+Isd_0677uA.csv,8.0,8.0,0.04,sample_N,1.52414281447894,-42.5838568210602
2023-03-14_013_N/021_supp15V_Ug6p0V_Ig_Usd_0p04V_po0_8K+Isd_0677uA.csv,8.0,6.0,0.04,sample_N,1.52399552125733,-42.6786180734634
2023-03-14_013_N/022_supp15V_Ug5p0V_Ig_Usd_0p04V_po0_8K+Isd_0677uA.csv,8.0,5.0,0.04,sample_N,1.52408237558599,-42.7244676351547
2023-03-14_013_N/023_supp15V_Ug4p0V_Ig_Usd_0p04V_po0_8K+Isd_0677uA.csv,8.0,4.0,0.04,sample_N,1.52376668262559,-42.7950727939606
2023-03-14_013_N/024_supp15V_Ug3p0V_Ig_Usd_0p04V_po0_8K+Isd_0677uA.csv,8.0,3.0,0.04,sample_N,1.52380397939502,-42.8064768314362
2023-03-14_013_N/025_supp15V_Ug2p0V_Ig_Usd_0p04V_po0_8K+Isd_0677uA.csv,8.0,2.0,0.04,sample_N,1.52340606897531,-42.8550159931183
2023-03-14_013_N/026_supp15V_Ug1p0V_Ig_Usd_0p04V_po0_8K+Isd_0677uA.csv,8.0,1.0,0.04,sample_N,1.52371659697338,-42.8839076757431
2023-03-14_013_N/027_supp15V_Ug0p0V_Ig_Usd_0p04V_po0_8K+Isd_0677uA.csv,8.0,0.0,0.04,sample_N,1.52343576679649,-42.9204053878784
2023-03-14_013_N/028_supp15V_Ug-1p0V_Ig_Usd_0p04V_po0_8K+Isd_0677uA.csv,8.0,-1.0,0.04,sample_N,1.5233483738564,-42.9622247219086
2023-03-14_013_N/029_supp15V_Ug-2p0V_Ig_Usd_0p04V_po0_8K+Isd_0677uA.csv,8.0,-2.0,0.04,sample_N,1.52304665815178,-43.0674674510956
2023-03-14_013_N/030_supp15V_Ug-3p0V_Ig_Usd_0p04V_po0_8K+Isd_0677uA.csv,8.0,-3.0,0.04,sample_N,1.52294881542602,-43.0453777313232
2023-03-14_013_N/031_supp15V_Ug-4p0V_Ig_Usd_0p04V_po0_8K+Isd_0677uA.csv,8.0,-4.0,0.04,sample_N,1.52306789551926,-43.0944664478302
2023-03-14_013_N/032_supp15V_Ug-5p0V_Ig_Usd_0p04V_po0_8K+Isd_0677uA.csv,8.0,-5.0,0.04,sample_N,1.52276028852574,-43.1567416191101
2023-03-14_013_N/033_supp15V_Ug-6p0V_Ig_Usd_0p04V_po0_8K+Isd_0677uA.csv,8.0,-6.0,0.04,sample_N,1.52278404698294,-43.1895413398743
2023-03-14_013_N/034_supp15V_Ug-7p0V_Ig_Usd_0p04V_po0_8K+Isd_0677uA.csv,8.0,-7.0,0.04,sample_N,1.52259586168231,-43.2333025932312
2023-03-14_013_N/035_supp15V_Ug-8p0V_Ig_Usd_0p04V_po0_8K+Isd_0677uA.csv,8.0,-8.0,0.04,sample_N,1.52255451844406,-43.2949302196503
2023-03-14_013_N/037_supp15V_Ug0p0V_Ig_Usd_0p04V_po0_8K+Isd_000_nowireuA.csv,8.0,0.0,0.04,nowire,,
2023-03-14_013_N/038_supp15V_Ug1p0V_Ig_Usd_0p04V_po0_8K+Isd_000_nowire.csv,8.0,1.0,0.04,nowire,,
2023-03-14_013_N/039_supp15V_Ug2p0V_Ig_Usd_0p04V_po0_8K+Isd_000_nowire.csv,8.0,2.0,0.04,nowire,,
2023-03-14_013_N/040_supp15V_Ug3p0V_Ig_Usd_0p04V_po0_8K+Isd_000_nowire.csv,8.0,3.0,0.04,nowire,,
2023-03-14_013_N/041_supp15V_Ug4p0V_Ig_Usd_0p04V_po0_8K+Isd_000_nowire.csv,8.0,4.0,0.04,nowire,,
2023-03-14_013_N/041_supp15V_Ug5p0V_Ig_Usd_0p04V_po0_8K+Isd_000_nowire.csv,8.0,5.0,0.04,nowire,,
2023-03-14_013_N/042_supp15V_Ug6p0V_Ig_Usd_0p04V_po0_8K+Isd_000_nowire.csv,8.0,6.0,0.04,nowire,,
2023-03-14_013_N/043_supp15V_Ug7p0V_Ig_Usd_0p04V_po0_8K+Isd_000_nowire.csv,8.0,7.0,0.04,nowire,,
2023-03-14_013_N/044_supp15V_Ug8p0V_Ig_Usd_0p04V_po0_8K+Isd_000_nowire.csv,8.0,8.0,0.04,nowire,,
2023-03-14_013_N/045_supp15V_Ug-1p0V_Ig_Usd_0p04V_po0_8K+Isd_000_nowire.csv,8.0,-1.0,0.04,nowire,,
2023-03-14_013_N/046_supp15V_Ug-2p0V_Ig_Usd_0p04V_po0_8K+Isd_000_nowire.csv,8.0,-2.0,0.04,nowire,,
2023-03-14_013_N/047_supp15V_Ug-3p0V_Ig_Usd_0p04V_po0_8K+Isd_000_nowire.csv,8.0,-3.0,0.04,nowire,,
2023-03-14_013_N/048_supp15V_Ug-5p0V_Ig_Usd_0p04V_po0_8K+Isd_000_nowire.csv,8.0,-5.0,0.04,nowire,,
2023-03-14_013_N/049_supp15V_Ug-6p0V_Ig_Usd_0p04V_po0_8K+Isd_000_nowire.csv,8.0,-6.0,0.04,nowire,,
2023-03-14_013_N/051_supp15V_Ug-8p0V_Ig_Usd_0p04V_po0_8K+Isd_000_nowire.csv,8.0,-8.0,0.04,nowire,,
2023-03-14_013_N/052_supp15V_Ug0p0V_Ig_Usd_0p04V_po0_8K+Isd_000_nowire.csv,8.0,0.0,0.04,nowire,,
2023-03-14_013_N/053_supp15V_Ug0p0V_Ig_Usd_0p04V_po0_6K+Isd_000_nowire.csv,6.0,0.0,0.04,nowire,,
2023-03-14_013_N/054_supp15V_Ug8p0V_Ig_Usd_0p04V_po0_6K+Isd_000_nowire.csv,6.0,8.0,0.04,nowire,,
2023-03-14_013_N/055_supp15V_Ug-8p0V_Ig_Usd_0p04V_po0_6K+Isd_000_nowire.csv,6.0,-8.0,0.04,nowire,,
